date,inflow
1904-10-01,2070.61288908
1905-10-01,4761.356025
1906-10-01,5716.30015566
1907-10-01,1454.13222896
1908-10-01,4553.10544691
1909-10-01,3647.41486972
1910-10-01,5477.91073463
1911-10-01,1264.22677475
1912-10-01,1433.30974963
1913-10-01,3950.26908416
1914-10-01,3062.17189565
1915-10-01,3846.19040671
1916-10-01,2831.502144
1917-10-01,1420.70082406
1918-10-01,2154.6446245
1919-10-01,1391.30776623
1920-10-01,3224.03305244
1921-10-01,3345.65354818
1922-10-01,2752.6829705
1923-10-01,530.54737101
1924-10-01,2757.95305324
1925-10-01,1373.29784894
1926-10-01,3627.73883688
1927-10-01,2528.6340454
1928-10-01,1156.42313855
1929-10-01,1579.21983209
1930-10-01,655.384461696
1931-10-01,2572.31206172
1932-10-01,1324.90512176
1933-10-01,1127.42280802
1934-10-01,2572.15735106
1935-10-01,3414.60098597
1936-10-01,2400.74776461
1937-10-01,4551.67536424
1938-10-01,1086.04958492
1939-10-01,3442.06610984
1940-10-01,3212.48726729
1941-10-01,3990.49189408
1942-10-01,3931.01354704
1943-10-01,1537.04727011
1944-10-01,2564.15404525
1945-10-01,2857.66016048
1946-10-01,1419.2925596
1947-10-01,2262.43040942
1948-10-01,1906.09388106
1949-10-01,2704.9527227
1950-10-01,4667.82743018
1951-10-01,5030.46941303
1952-10-01,2706.39073929
1953-10-01,2067.80429404
1954-10-01,1428.18446042
1955-10-01,4320.57123241
1956-10-01,2196.0753682
1957-10-01,4142.30478639
1958-10-01,1479.11404709
1959-10-01,1443.76264221
1960-10-01,1197.60793186
1961-10-01,2028.27768252
1962-10-01,3298.90908534
1963-10-01,1736.09255906
1964-10-01,4200.43635654
1965-10-01,1380.07536957
1966-10-01,3795.6852829
1967-10-01,2009.27602963
1968-10-01,4221.45718293
1969-10-01,3613.26941541
1970-10-01,2905.30908604
1971-10-01,2039.58346768
1972-10-01,2963.62313552
1973-10-01,4356.59503393
1974-10-01,2703.59007812
1975-10-01,1400.33057617
1976-10-01,563.456527978
1977-10-01,2347.02148363
1978-10-01,2151.78842617
1979-10-01,3924.63867106
1980-10-01,1354.9249564
1981-10-01,5772.34313079
1982-10-01,6410.3008155
1983-10-01,4082.36627409
1984-10-01,1730.49917064
1985-10-01,4392.25189348
1986-10-01,1202.16396491
1987-10-01,1031.17487426
1988-10-01,1693.42809629
1989-10-01,1590.46611303
1990-10-01,923.994048049
1991-10-01,1283.63305571
1992-10-01,2752.65321853
1993-10-01,1284.3252871
1994-10-01,5020.90114859
1995-10-01,3468.92032473
1996-10-01,5010.63668574
1997-10-01,4243.79900111
1998-10-01,3379.98941582
1999-10-01,2761.77321849
2000-10-01,1510.31206358
2001-10-01,1679.08363354
2002-10-01,2214.1606574
2003-10-01,2039.34941806
2004-10-01,2887.44396206
2005-10-01,5391.87569337
2006-10-01,1770.26776562
2007-10-01,1284.2558656
2008-10-01,1789.86049285
2009-10-01,2016.84892226
2010-10-01,4690.21090124
2011-10-01,1998.25586444
2012-10-01,1764.02578215
2013-10-01,970.058180194
2014-10-01,1022.47537018
